DATE,MAX TEMPERATURE(F),MAX_TEMP_CELSIUS,MIN TEMPERATURE(F),MIN_TEMP_CELSIUS,MEAN TEMPERATURE(C),DAILY SUNSHINE (0.1HOURS),DAILY SNOW (1CM),DAILY PRECIPITATION (0.1MM),DAILY GLOBAL RADIATION (W/m2),DAILY SEA LEVEL PRESSURE (0.1 hPa),DAILY RELATIVE HUMIDITY (%),DAILY CLOUD COVER (oktas)
01/01/19,64,17.78,48,8.9,13.34,5,0,0,19,10357,77,7
01/02/19,55,12.78,37,2.8,7.79,0,0,0,13,10431,71,7
01/03/19,46,7.78,43,6.1,6.94,0,0,0,13,10432,65,8
01/04/19,64,17.78,14,-10,3.89,47,0,0,43,10423,73,5
01/05/19,100,37.78,16,-8.9,14.44,0,0,0,13,10392,77,8
01/06/19,111,43.89,42,5.6,24.745,2,0,0,16,10368,80,8
01/07/19,93,33.89,60,15.6,24.745,0,0,0,13,10323,84,8
01/08/19,59,15,61,16.1,15.55,51,0,0,46,10281,71,1
01/09/19,73,22.78,19,-7.2,7.79,31,0,0,37,10297,77,3
01/10/19,91,32.78,2,-16.7,8.04,0,1–2,0,14,10306,87,7
01/11/19,110,43.33,16,-8.9,17.215,2,0,0,17,10302,83,7
01/12/19,117,47.22,64,17.8,32.51,0,0,0,14,10232,79,8
01/13/19,98,36.67,86,30,33.335,1,0,0,16,10144,76,8
01/14/19,97,36.11,74,23.3,29.705,18,0,0,31,10203,68,6
01/15/19,99,37.22,14,-10,13.61,1,0,2,17,10194,82,6
01/16/19,51,10.56,62,16.7,13.63,0,0,52,15,10059,92,7
01/17/19,71,21.67,21,-6.1,7.785,61,0,0,56,10113,76,4
01/18/19,55,12.78,-14,-25.6,-6.41,8,3–5,0,25,10163,75,7
01/19/19,57,13.89,6,-14.4,-0.255,0,1–2,0,16,10098,85,8
01/20/19,64,17.78,-14,-25.6,-3.91,57,3–5,0,56,10179,80,2
01/21/19,66,18.89,-22,-30,-5.555,3,3–5,54,21,10212,84,7
01/22/19,34,1.11,10,-12.2,-5.545,40,1–2,48,48,10021,89,5
01/23/19,54,12.22,-1,-18.3,-3.04,16,1–2,2,33,10027,89,6
01/24/19,124,51.11,-28,-33.3,8.905,0,6–10,10,17,10117,91,8
01/25/19,108,42.22,-2,-18.9,11.66,28,1–2,0,43,10140,90,6
01/26/19,67,19.44,47,8.3,13.87,3,0,58,23,10025,87,7
01/27/19,60,15.56,37,2.8,9.18,19,0,10,38,9919,75,6
01/28/19,65,18.33,13,-10.6,3.865,70,1–2,0,69,10059,66,0
01/29/19,62,16.67,-26,-32.2,-7.765,4,6–10,50,25,10014,82,7
01/30/19,44,6.67,-17,-27.2,-10.265,63,3–5,0,68,9957,84,2
01/31/19,26,-3.33,-52,-46.7,-25.015,34,6–10,46,51,9914,85,4
02/01/19,52,11.11,-28,-33.3,-11.095,0,6–10,52,19,9878,93,8
02/02/19,74,23.33,5,-15,4.165,57,1–2,0,67,10069,79,6
02/03/19,97,36.11,-28,-33.3,1.405,70,6–10,50,76,10230,75,2
02/04/19,95,35,-12,-24.4,5.3,0,3–5,2,20,10185,92,7
02/05/19,115,46.11,50,10,28.055,0,0,42,21,10231,96,8
02/06/19,105,40.56,57,13.9,27.23,7,0,40,32,10163,91,7
02/07/19,111,43.89,61,16.1,29.995,53,0,12,70,10061,75,6
02/08/19,108,42.22,64,17.8,30.01,0,0,70,22,9991,88,7
02/09/19,80,26.67,65,18.3,22.485,37,0,20,61,10004,72,4
02/10/19,92,33.33,57,13.9,23.615,9,0,10,37,9978,85,6
02/11/19,123,50.56,18,-7.8,21.38,42,0,0,66,10234,76,4
02/12/19,129,53.89,15,-9.4,22.245,26,0,0,54,10332,83,5
02/13/19,139,59.44,48,8.9,34.17,27,0,0,56,10331,85,4
02/14/19,144,62.22,4,-15.6,23.31,84,1–2,2,98,10319,79,1
02/15/19,119,48.33,10,-12.2,18.065,84,1–2,0,99,10270,78,0
02/16/19,151,66.11,31,-0.6,32.755,0,0,0,25,10227,93,6
02/17/19,97,36.11,37,2.8,19.455,58,0,0,84,10160,84,3
02/18/19,125,51.67,72,22.2,36.935,0,0,28,26,10154,90,6
02/19/19,133,56.11,19,-7.2,24.455,53,0,0,83,10186,81,4
02/20/19,153,67.22,55,12.8,40.01,38,0,0,72,10200,80,6
02/21/19,153,67.22,62,16.7,41.96,54,0,0,86,10264,83,4
02/22/19,167,75,60,15.6,45.3,59,0,0,91,10345,84,5
02/23/19,168,75.56,63,17.2,46.38,63,0,0,96,10338,82,0
02/24/19,194,90,28,-2.2,43.9,91,0,0,118,10355,73,0
02/25/19,201,93.89,12,-11.1,41.395,95,1–2,0,122,10362,62,0
02/26/19,192,88.89,20,-6.7,41.095,96,0,0,124,10324,62,0
02/27/19,131,55,24,-4.4,25.3,92,0,0,123,10248,73,0
02/28/19,112,44.44,47,8.3,26.37,7,0,14,46,10159,89,6
03/01/19,151,66.11,83,28.3,47.205,1,0,0,39,10181,81,7
03/02/19,127,52.78,75,23.9,38.34,23,0,26,74,10101,84,7
03/03/19,107,41.67,90,32.2,36.935,0,0,50,36,9983,87,7
03/04/19,122,50,38,3.3,26.65,34,0,6,89,9944,79,6
03/05/19,126,52.22,31,-0.6,25.81,56,0,50,113,10024,77,5
03/06/19,125,51.67,70,21.1,36.385,0,0,4,38,9897,87,8
03/07/19,106,41.11,55,12.8,26.955,40,0,2,99,9927,75,6
03/08/19,136,57.78,28,-2.2,27.79,34,0,12,94,10099,81,4
03/09/19,108,42.22,69,20.6,31.41,34,0,82,95,10123,70,6
03/10/19,114,45.56,53,11.7,28.63,60,0,30,125,10091,75,6
03/11/19,98,36.67,20,-6.7,14.985,83,0,6,149,10229,61,3
03/12/19,120,48.89,59,15,31.945,15,0,78,73,10070,85,6
03/13/19,149,65,40,4.4,34.7,26,0,42,90,10080,64,7
03/14/19,147,63.89,70,21.1,42.495,40,0,46,109,10061,74,6
03/15/19,125,51.67,91,32.8,42.235,12,0,0,71,10072,82,8
03/16/19,104,40,103,39.4,39.7,0,0,44,44,10025,80,8
03/17/19,116,46.67,38,3.3,24.985,63,0,18,139,10053,75,4
03/18/19,130,54.44,34,1.1,27.77,38,0,0,111,10205,75,6
03/19/19,130,54.44,62,16.7,35.57,5,0,0,61,10273,85,8
03/20/19,146,63.33,82,27.8,45.565,0,0,0,46,10323,82,8
03/21/19,110,43.33,88,31.1,37.215,1,0,0,52,10330,81,8
03/22/19,139,59.44,89,31.7,45.57,0,0,0,48,10288,81,8
03/23/19,149,65,71,21.7,43.35,16,0,0,85,10314,70,6
03/24/19,131,55,33,0.6,27.8,106,0,0,195,10306,64,2
03/25/19,147,63.89,52,11.1,37.495,111,0,0,202,10318,59,2
03/26/19,134,56.67,15,-9.4,23.635,81,0,0,173,10342,66,2
03/27/19,161,71.67,46,7.8,39.735,24,0,0,102,10352,63,6
03/28/19,176,80,71,21.7,50.85,53,0,0,144,10357,64,5
03/29/19,191,88.33,27,-2.8,42.765,114,0,0,213,10290,63,0
03/30/19,131,55,47,8.3,31.65,82,0,0,181,10213,66,3
03/31/19,145,62.78,82,27.8,45.29,38,0,0,128,10246,70,4
04/01/19,98,36.67,39,3.9,20.285,114,0,0,219,10198,70,2
04/02/19,109,42.78,34,1.1,21.94,21,0,44,104,10044,86,5
04/03/19,103,39.44,9,-12.8,13.32,42,1–2,8,137,9988,79,5
04/04/19,143,61.67,11,-11.7,24.985,16,1–2,14,97,9951,80,7
04/05/19,116,46.67,54,12.2,29.435,28,0,0,118,10019,64,6
04/06/19,117,47.22,63,17.2,32.21,5,0,0,75,10054,81,6
04/07/19,127,52.78,61,16.1,34.44,0,0,2,58,10083,88,7
04/08/19,117,47.22,75,23.9,35.56,2,0,28,68,10110,87,8
04/09/19,131,55,82,27.8,41.4,0,0,18,59,10141,86,7
04/10/19,126,52.22,46,7.8,30.01,118,0,0,240,10189,63,3
04/11/19,107,41.67,11,-11.7,14.985,125,1–2,0,249,10257,62,1
04/12/19,99,37.22,13,-10.6,13.31,36,1–2,0,139,10269,61,5
04/13/19,114,45.56,6,-14.4,15.58,66,1–2,0,182,10273,68,3
04/14/19,153,67.22,-3,-19.4,23.91,80,1–2,0,202,10254,65,3
04/15/19,164,73.33,42,5.6,39.465,110,0,0,239,10198,64,4
04/16/19,192,88.89,69,20.6,54.745,14,0,0,103,10152,76,7
04/17/19,218,103.33,67,19.4,61.365,96,0,0,226,10189,72,2
04/18/19,240,115.56,78,25.6,70.58,110,0,0,244,10230,65,7
04/19/19,247,119.44,87,30.6,75.02,123,0,0,261,10282,52,0
04/20/19,246,118.89,82,27.8,73.345,129,0,0,269,10294,53,0
04/21/19,250,121.11,77,25,73.055,128,0,0,270,10200,50,0
04/22/19,219,103.89,85,29.4,66.645,75,0,0,206,10059,49,4
04/23/19,183,83.89,128,53.3,68.595,15,0,0,111,9971,57,4
04/24/19,173,78.33,101,38.3,58.315,23,0,6,128,9938,72,7
04/25/19,176,80,81,27.2,53.6,31,0,0,143,9987,70,5
04/26/19,133,56.11,56,13.3,34.705,49,0,8,173,10090,77,5
04/27/19,148,64.44,72,22.2,43.32,12,0,0,107,10099,63,7
04/28/19,161,71.67,71,21.7,46.685,11,0,0,106,10201,63,8
04/29/19,182,83.33,54,12.2,47.765,27,0,0,139,10259,72,7
04/30/19,185,85,59,15,50,95,0,0,242,10244,69,3
05/01/19,167,75,65,18.3,46.65,38,0,0,161,10189,71,6
05/02/19,155,68.33,91,32.8,50.565,47,0,14,176,10141,75,6
